Player,Start,Now,+/-
Cole Palmer (CHE),5.0,6.2,1.2
Mohamed Salah (LIV),12.5,13.5,1.0
Son Heung-min (TOT),9.0,9.9,0.9
Pedro Porro (TOT),5.0,5.9,0.9
William Saliba (ARS),5.0,5.9,0.9
Ollie Watkins (AVL),8.0,8.9,0.9
Dominic Solanke (BOU),6.5,7.2,0.7
Virgil van Dijk (LIV),6.0,6.7,0.7
Jarrod Bowen (WHU),7.0,7.7,0.7
Phil Foden (MCI),7.5,8.2,0.7
Anthony Gordon (NEW),5.5,6.1,0.6
Cristian Romero (TOT),4.5,5.1,0.6
Fabian Schär (NEW),5.0,5.6,0.6
Destiny Udogie (TOT),4.5,5.0,0.5
Bukayo Saka (ARS),8.5,9.0,0.5
Benjamin White (ARS),5.5,6.0,0.5
Alexander Isak (NEW),7.5,8.0,0.5
Trent Alexander-Arnold (LIV),8.0,8.4,0.4
Gabriel dos Santos Magalhães (ARS),5.0,5.4,0.4
James Maddison (TOT),7.5,7.8,0.3
Bryan Mbeumo (BRE),6.5,6.8,0.3
Kyle Walker (MCI),5.0,5.3,0.3
Malo Gusto (CHE),4.0,4.3,0.3
Bernd Leno (FUL),4.5,4.8,0.3
Jarrad Branthwaite (EVE),4.0,4.3,0.3
Emiliano Martínez Romero (AVL),5.0,5.3,0.3
Mohammed Kudus (WHU),6.5,6.8,0.3
Guglielmo Vicario (TOT),5.0,5.3,0.3
Luis Díaz (LIV),7.5,7.8,0.3
Rayan Aït-Nouri (WOL),4.5,4.8,0.3
Darwin Núñez Ribeiro (LIV),7.5,7.8,0.3
Conor Bradley (LIV),4.0,4.3,0.3
Diogo Dalot Teixeira (MUN),5.0,5.2,0.2
Lewis Dunk (BHA),5.0,5.2,0.2
Jordan Pickford (EVE),4.5,4.7,0.2
Joachim Andersen (CRY),4.5,4.7,0.2
Alphonse Areola (WHU),4.0,4.2,0.2
Alisson Ramses Becker (LIV),5.5,5.7,0.2
Norberto Murara Neto (BOU),4.5,4.7,0.2
David Raya Martin (ARS),5.0,5.2,0.2
Martin Dubravka (NEW),4.0,4.2,0.2
Mark Flekken (BRE),4.5,4.7,0.2
Erling Haaland (MCI),14.0,14.2,0.2
Joe Gomez (LIV),4.5,4.6,0.1
Đorđe Petrović (CHE),4.5,4.6,0.1
Levi Colwill (CHE),4.5,4.6,0.1
Jan Paul van Hecke (BHA),4.0,4.1,0.1
Dominik Szoboszlai (LIV),7.0,7.1,0.1
Vladimír Coufal (WHU),4.5,4.6,0.1
Anthony Elanga (NFO),5.0,5.1,0.1
James Tarkowski (EVE),4.5,4.6,0.1
Rodrigo Muniz Carvalho (FUL),4.5,4.6,0.1
Vitalii Mykolenko (EVE),4.5,4.6,0.1
Max Kilman (WOL),4.5,4.6,0.1
Matheus Santos Carneiro Da Cunha (WOL),5.5,5.6,0.1
Kieran Trippier (NEW),6.5,6.6,0.1
Pau Torres (AVL),4.5,4.6,0.1
Antonee Robinson (FUL),4.5,4.6,0.1
Martin Ødegaard (ARS),8.5,8.6,0.1
Rodrigo Hernandez (MCI),5.5,5.6,0.1
Lucas Digne (AVL),4.5,4.6,0.1
Pierre-Emerick Aubameyang (CHE),6.5,6.5,0.0
Joe Gardner (NFO),4.5,4.5,0.0
Myles Lewis-Skelly (ARS),4.5,4.5,0.0
Diego Manuel Jadon da Silva Moreira (CHE),4.5,4.5,0.0
Jarell Quansah (LIV),4.0,4.0,0.0
Jadan Raymond (CRY),4.5,4.5,0.0
Valentín Barco (BHA),4.0,4.0,0.0
Amadou Diallo (NEW),4.5,4.5,0.0
Treymaurice Nyoni (LIV),4.5,4.5,0.0
Steven Benda (FUL),4.0,4.0,0.0
Valintino Adedokun (BRE),4.0,4.0,0.0
Axel Piesold (LUT),4.5,4.5,0.0
Kaden Rodney (CRY),4.5,4.5,0.0
Zack Nelson (LUT),4.5,4.5,0.0
Mackenzie Hunt (EVE),4.5,4.5,0.0
Benicio Baker-Boaitey (BHA),4.5,4.5,0.0
Daiki Hashioka (LUT),4.0,4.0,0.0
Reuell Walters (ARS),4.0,4.0,0.0
Devan Tanton (FUL),4.0,4.0,0.0
Ademola Ola-Adebomi (CRY),4.5,4.5,0.0
Cameron Peupion (BHA),4.5,4.5,0.0
Josh Brooking (CHE),4.0,4.0,0.0
Ethan Nwaneri (ARS),4.5,4.5,0.0
Kaide Gordon (LIV),4.5,4.5,0.0
Cesare Casadei (CHE),4.5,4.5,0.0
Ty Barnett (WOL),4.5,4.5,0.0
Jesurun Rak-Sakyi (CRY),4.5,4.5,0.0
George Earthy (WHU),4.5,4.5,0.0
Dominic Dos Santos Martins (LUT),4.5,4.5,0.0
Odeluga Offiah (BHA),4.0,4.0,0.0
Bertrand Traoré (AVL),5.0,5.0,0.0
Ishé Samuels-Smith (CHE),4.0,4.0,0.0
Lewis Orford (WHU),4.5,4.5,0.0
Travis Hernes (NEW),4.5,4.5,0.0
Joshua King (FUL),4.5,4.5,0.0
Samy Chouchane (BHA),4.5,4.5,0.0
Jenson Metcalfe (EVE),4.5,4.5,0.0
Lewis Warrington (EVE),4.5,4.5,0.0
Leigh Kavanagh (BHA),4.0,4.0,0.0
Ollie Harrison (CHE),4.5,4.5,0.0
Detlef Esapa Osong (NFO),4.5,4.5,0.0
David Ozoh (CRY),4.5,4.5,0.0
Joseph Anang (WHU),4.0,4.0,0.0
